topic,year,papers_published
Advanced Graph Theory Research,2010,5
Advanced Database Systems and Queries,2010,5
Information Retrieval and Search Behavior,2010,5
Software Engineering Techniques and Practices,2010,5
Human-Automation Interaction and Safety,2010,5
Advanced Algebra and Logic,2010,5
IoT-based Smart Home Systems,2010,5
Fuzzy Logic and Control Systems,2010,5
DNA and Biological Computing,2010,5
Evaluation Methods in Various Fields,2010,5
Optimization and Search Problems,2010,5
Military Defense Systems Analysis,2010,5
Usability and User Interface Design,2010,4
Modular Robots and Swarm Intelligence,2010,4
Distributed Control Multi-Agent Systems,2010,4
Embedded Systems and FPGA Design,2010,4
Civil and Geotechnical Engineering Research,2010,4
Sentiment Analysis and Opinion Mining,2010,4
Machine Learning and Algorithms,2010,4
Chaos control and synchronization,2010,4
Bayesian Modeling and Causal Inference,2010,4
Network Packet Processing and Optimization,2010,4
Geographic Information Systems Studies,2010,4
AI in cancer detection,2010,4
Guidance and Control Systems,2010,4
Discourse Analysis in Language Studies,2010,4
Textile materials and evaluations,2010,4
Solar and Space Plasma Dynamics,2010,4
Structural Health Monitoring Techniques,2010,4
Anomaly Detection Techniques and Applications,2010,4
Child and Animal Learning Development,2010,4
Machine Learning and ELM,2010,4
Artificial Immune Systems Applications,2010,4
Spectroscopy and Chemometric Analyses,2010,4
Astronomical Observations and Instrumentation,2010,4
Cognitive Science and Mapping,2010,4
Complex Network Analysis Techniques,2010,4
Game Theory and Voting Systems,2010,4
Advanced Combinatorial Mathematics,2010,4
Advanced Optimization Algorithms Research,2010,4
Chinese history and philosophy,2010,4
Satellite Image Processing and Photogrammetry,2010,4
Mathematical Analysis and Transform Methods,2010,4
Technology Adoption and User Behaviour,2010,4
Innovative Human-Technology Interaction,2010,4
Cognitive Computing and Networks,2010,4
Cell Image Analysis Techniques,2010,4
Interconnection Networks and Systems,2010,4
Fuzzy Systems and Optimization,2010,4
Multi-Agent Systems and Negotiation,2010,4
semigroups and automata theory,2010,4
Mathematical Dynamics and Fractals,2010,3
Game Theory and Applications,2010,3
Advanced Fiber Optic Sensors,2010,3
Advanced Optical Sensing Technologies,2010,3
Communication in Education and Healthcare,2010,3
Hydrological Forecasting Using AI,2010,3
Consumer Perception and Purchasing Behavior,2010,3
Photovoltaic System Optimization Techniques,2010,3
Gene expression and cancer classification,2010,3
Fire Detection and Safety Systems,2010,3
Gaussian Processes and Bayesian Inference,2010,3
Educational Reforms and Innovations,2010,3
Data Stream Mining Techniques,2010,3
Imbalanced Data Classification Techniques,2010,3
Biometric Identification and Security,2010,3
Fractal and DNA sequence analysis,2010,3
Regional Economic and Spatial Analysis,2010,3
Mosquito-borne diseases and control,2010,3
Advanced Control Systems Optimization,2010,3
Interactive and Immersive Displays,2010,3
Statistical Methods and Inference,2010,3
"Logic, Reasoning, and Knowledge",2010,3
3D Surveying and Cultural Heritage,2010,3
Human Mobility and Location-Based Analysis,2010,3
Statistical Methods and Bayesian Inference,2010,3
Numerical Methods and Algorithms,2010,3
Transportation Planning and Optimization,2010,3
Social Robot Interaction and HRI,2010,3
Educational Technology and Pedagogy,2010,3
Neural Networks Stability and Synchronization,2010,3
Graph theory and applications,2010,3
Numerical methods in inverse problems,2010,3
Graph Labeling and Dimension Problems,2010,3
Business Process Modeling and Analysis,2010,3
Philosophy and History of Science,2010,3
Scientific Computing and Data Management,2010,3
Augmented Reality Applications,2010,3
Impact of Light on Environment and Health,2010,3
Advanced Memory and Neural Computing,2010,3
Neural dynamics and brain function,2010,3
Robotics and Automated Systems,2010,3
Information Architecture and Usability,2010,3
Cognitive Science and Education Research,2010,3
"Language, Metaphor, and Cognition",2010,3
Gaze Tracking and Assistive Technology,2010,3
Mathematics and Applications,2010,3
Physical Unclonable Functions (PUFs) and Hardware Security,2010,3
Data Quality and Management,2010,3
Quantum chaos and dynamical systems,2010,3
Robot Manipulation and Learning,2010,3
Advanced biosensing and bioanalysis techniques,2010,3
Ideological and Political Education,2010,3
Grey System Theory Applications,2010,3
Information and Cyber Security,2010,3
Electronic Health Records Systems,2010,3
Advanced Manufacturing and Logistics Optimization,2010,3
Meteorological Phenomena and Simulations,2010,3
Second Language Acquisition and Learning,2010,3
Computational Fluid Dynamics and Aerodynamics,2010,3
Auction Theory and Applications,2010,3
Evacuation and Crowd Dynamics,2010,3
Advanced Data Processing Techniques,2010,3
Experimental Learning in Engineering,2010,3
Quantum Computing Algorithms and Architecture,2010,3
Autonomous Vehicle Technology and Safety,2010,3
Opportunistic and Delay-Tolerant Networks,2010,3
Radiomics and Machine Learning in Medical Imaging,2010,3
Soft Robotics and Applications,2010,3
Software System Performance and Reliability,2010,3
Quantum Information and Cryptography,2010,3
Energy Harvesting in Wireless Networks,2010,3
Vehicle Routing Optimization Methods,2010,3
Microgrid Control and Optimization,2010,2
solar cell performance optimization,2010,2
Cultural Industries and Urban Development,2010,2
Gender and Technology in Education,2010,2
Digital Games and Media,2010,2
Innovative Educational Techniques,2010,2
Cybercrime and Law Enforcement Studies,2010,2
Political Philosophy and Ethics,2010,2
Advanced Research in Science and Engineering,2010,2
Traffic and Road Safety,2010,2
Safety Warnings and Signage,2010,2
Geomechanics and Mining Engineering,2010,2
Water Quality Monitoring Technologies,2010,2
Additive Manufacturing and 3D Printing Technologies,2010,2
Dynamics and Control of Mechanical Systems,2010,2
Advanced X-ray and CT Imaging,2010,2
Flexible and Reconfigurable Manufacturing Systems,2010,2
Particle physics theoretical and experimental studies,2010,2
Neutrino Physics Research,2010,2
Dark Matter and Cosmic Phenomena,2010,2
Aerodynamics and Fluid Dynamics Research,2010,2
Optimization and Mathematical Programming,2010,2
Advanced Statistical Process Monitoring,2010,2
"Language, Discourse, Communication Strategies",2010,2
Hydrology and Watershed Management Studies,2010,2
Emotion and Mood Recognition,2010,2
Astro and Planetary Science,2010,2
Digital Rights Management and Security,2010,2
Integrated Circuits and Semiconductor Failure Analysis,2010,2
Probabilistic and Robust Engineering Design,2010,2
Mechanical stress and fatigue analysis,2010,2
Tribology and Lubrication Engineering,2010,2
Face Recognition and Perception,2010,2
Water Quality Monitoring and Analysis,2010,2
Mineral Processing and Grinding,2010,2
Customer churn and segmentation,2010,2
Underwater Acoustics Research,2010,2
Machine Fault Diagnosis Techniques,2010,2
Gear and Bearing Dynamics Analysis,2010,2
Morphological variations and asymmetry,2010,2
Geometric and Algebraic Topology,2010,2
Point processes and geometric inequalities,2010,2
Black Holes and Theoretical Physics,2010,2
Cosmology and Gravitation Theories,2010,2
Noncommutative and Quantum Gravity Theories,2010,2
"Rings, Modules, and Algebras",2010,2
Evolution and Genetic Dynamics,2010,2
Social and Intergroup Psychology,2010,2
Online and Blended Learning,2010,2
Advanced Neuroimaging Techniques and Applications,2010,2
Tensor decomposition and applications,2010,2
Jury Decision Making Processes,2010,2
Malaria Research and Control,2010,2
Philosophy and Theoretical Science,2010,2
Advanced Differential Geometry Research,2010,2
Neural Networks and Reservoir Computing,2010,2
Translation Studies and Practices,2010,2
"Swearing, Euphemism, Multilingualism",2010,2
Cognitive and developmental aspects of mathematical skills,2010,2
Archaeological Research and Protection,2010,2
Intelligent Tutoring Systems and Adaptive Learning,2010,2
Innovative Teaching and Learning Methods,2010,2
Visual and Cognitive Learning Processes,2010,2
E-commerce and Technology Innovations,2010,2
Digital Media and Visual Art,2010,2
Global Cancer Incidence and Screening,2010,2
Library Science and Information Literacy,2010,2
Spatial Cognition and Navigation,2010,2
Power Line Inspection Robots,2010,2
Balkan and Eastern European Studies,2010,2
Digital Image Processing Techniques,2010,2
stochastic dynamics and bifurcation,2010,2
Photography and Visual Culture,2010,2
linguistics and terminology studies,2010,2
Spectroscopy and Laser Applications,2010,2
Remote Sensing and LiDAR Applications,2010,2
Innovations in Medical Education,2010,2
Edcuational Technology Systems,2010,2
Advanced Statistical Modeling Techniques,2010,2
Musculoskeletal pain and rehabilitation,2010,2
Web Applications and Data Management,2010,2
American Constitutional Law and Politics,2010,2
Financial Crisis of the 21st Century,2010,2
Calibration and Measurement Techniques,2010,2
Atmospheric Ozone and Climate,2010,2
Geological Modeling and Analysis,2010,2
Evaluation and Optimization Models,2010,2
CCD and CMOS Imaging Sensors,2010,2
Action Observation and Synchronization,2010,2
Advanced Adaptive Filtering Techniques,2010,2
Reinforcement Learning in Robotics,2010,2
Hydrology and Drought Analysis,2010,2
Software Testing and Debugging Techniques,2010,2
Computational Physics and Python Applications,2010,2
Artificial Intelligence in Games,2010,2
Multimedia Learning Systems,2010,2
Fuel Cells and Related Materials,2010,2
Electrocatalysts for Energy Conversion,2010,2
Advanced battery technologies research,2010,2
Electromagnetic Compatibility and Measurements,2010,2
Electric Power System Optimization,2010,2
Mobile Agent-Based Network Management,2010,2
ERP Systems Implementation and Impact,2010,2
Outsourcing and Supply Chain Management,2010,2
Scheduling and Optimization Algorithms,2010,2
Turbomachinery Performance and Optimization,2010,2
Combustion and flame dynamics,2010,2
Tactile and Sensory Interactions,2010,2
Southeast Asian Sociopolitical Studies,2010,2
Open Education and E-Learning,2010,2
Wikis in Education and Collaboration,2010,2
Online Learning and Analytics,2010,2
Geometric Analysis and Curvature Flows,2010,2
Advanced Topology and Set Theory,2010,2
Surface Roughness and Optical Measurements,2010,2
Radiation Dose and Imaging,2010,2
Teaching and Learning Programming,2010,2
Wireless Networks and Protocols,2010,2
Vehicular Ad Hoc Networks (VANETs),2010,2
Spreadsheets and End-User Computing,2010,2
Advanced Authentication Protocols Security,2010,2
RFID technology advancements,2010,2
Text Readability and Simplification,2010,2
"Epistemology, Ethics, and Metaphysics",2010,2
Christian Theology and Mission,2010,2
Hate Speech and Cyberbullying Detection,2010,2
Law in Society and Culture,2010,2
Peer-to-Peer Network Technologies,2010,2
Geophysical and Geoelectrical Methods,2010,2
Statistical Methods in Clinical Trials,2010,2
Water Systems and Optimization,2010,2
Radar Systems and Signal Processing,2010,2
Wireless Sensor Networks and IoT,2010,2
Knowledge Management and Sharing,2010,2
Electromagnetic Simulation and Numerical Methods,2010,2
Infant Health and Development,2010,2
"Genetics, Bioinformatics, and Biomedical Research",2010,2
Fashion and Cultural Textiles,2010,2
MRI in cancer diagnosis,2010,2
Technology Assessment and Management,2010,2
Economic theories and models,2010,2
Risk and Safety Analysis,2010,2
Transportation Safety and Impact Analysis,2010,2
Computer Science and Engineering,2010,2
Decision Support System Applications,2010,2
Multimedia Communication and Technology,2010,2
International Student and Expatriate Challenges,2010,2
Complex Systems and Time Series Analysis,2010,2
Financial Markets and Investment Strategies,2010,2
"Neuroscience, Education and Cognitive Function",2010,2
Nonlinear Waves and Solitons,2010,2
Software Reliability and Analysis Research,2010,2
Educational Robotics and Engineering,2010,2
Data Analysis with R,2010,2
Fuzzy and Soft Set Theory,2010,2
Big Data and Business Intelligence,2010,2
CRISPR and Genetic Engineering,2010,2
Pluripotent Stem Cells Research,2010,2
Digital Marketing and Social Media,2010,2
3D Modeling in Geospatial Applications,2010,1
Collaboration in agile enterprises,2010,1
Deception detection and forensic psychology,2010,1
Memory Processes and Influences,2010,1
Transport Systems and Technology,2010,1
Pharmacy and Medical Practices,2010,1
Robotic Locomotion and Control,2010,1
User Authentication and Security Systems,2010,1
Analytical Chemistry and Chromatography,2010,1
Crystallization and Solubility Studies,2010,1
Petroleum Processing and Analysis,2010,1
Automated Road and Building Extraction,2010,1
Economic and Technological Systems Analysis,2010,1
Renal and related cancers,2010,1
Animal Genetics and Reproduction,2010,1
Legal Systems and Judicial Processes,2010,1
"Law, Rights, and Freedoms",2010,1
Digital Communication and Language,2010,1
Motor Control and Adaptation,2010,1
Information Systems and Technology Applications,2010,1
Australian History and Society,2010,1
Historical Economic and Social Studies,2010,1
Korean Urban and Social Studies,2010,1
Ultrasonics and Acoustic Wave Propagation,2010,1
Atmospheric aerosols and clouds,2010,1
Infrastructure Maintenance and Monitoring,2010,1
Extenics and Innovation Methods,2010,1
Memory and Neural Mechanisms,2010,1
Product Development and Customization,2010,1
Water Quality and Resources Studies,2010,1
Opinion Dynamics and Social Influence,2010,1
Electoral Systems and Political Participation,2010,1
Political Conflict and Governance,2010,1
Machine Learning in Bioinformatics,2010,1
Advanced MEMS and NEMS Technologies,2010,1
AI in Service Interactions,2010,1
Geometry and complex manifolds,2010,1
Risk and Portfolio Optimization,2010,1
Recommender Systems and Techniques,2010,1
Sensor Technology and Measurement Systems,2010,1
Satellite Communication Systems,2010,1
Youth Substance Use and School Attendance,2010,1
Advanced Optical Imaging Technologies,2010,1
Flowering Plant Growth and Cultivation,2010,1
Botany and Plant Ecology Studies,2010,1
Building Energy and Comfort Optimization,2010,1
Child and Adolescent Psychosocial and Emotional Development,2010,1
Additive Manufacturing Materials and Processes,2010,1
Hydraulic and Pneumatic Systems,2010,1
Nonlinear Photonic Systems,2010,1
Random lasers and scattering media,2010,1
Cold Atom Physics and Bose-Einstein Condensates,2010,1
Radiation Detection and Scintillator Technologies,2010,1
Advanced Semiconductor Detectors and Materials,2010,1
Quality and Supply Management,2010,1
Aerodynamics and Acoustics in Jet Flows,2010,1
Aerospace and Aviation Technology,2010,1
Iterative Learning Control Systems,2010,1
Distributed Sensor Networks and Detection Algorithms,2010,1
Vibration and Dynamic Analysis,2010,1
ICT in Developing Communities,2010,1
Problem and Project Based Learning,2010,1
Optimization and Packing Problems,2010,1
Classical Antiquity Studies,2010,1
Ancient Mediterranean Archaeology and History,2010,1
Byzantine Studies and History,2010,1
Advanced Sensor and Energy Harvesting Materials,2010,1
"Adhesion, Friction, and Surface Interactions",2010,1
Viral Infectious Diseases and Gene Expression in Insects,2010,1
Protein purification and stability,2010,1
Monoclonal and Polyclonal Antibodies Research,2010,1
Digital Education and Society,2010,1
Digital and Cyber Forensics,2010,1
"Law, AI, and Intellectual Property",2010,1
Regional Development and Environment,2010,1
Philosophical Ethics and Theory,2010,1
Ophthalmology and Visual Impairment Studies,2010,1
Intraocular Surgery and Lenses,2010,1
Corneal surgery and disorders,2010,1
Sleep and Work-Related Fatigue,2010,1
Ergonomics and Musculoskeletal Disorders,2010,1
Advanced Mathematical Theories and Applications,2010,1
Algebraic and Geometric Analysis,2010,1
Diverse Interdisciplinary Research Innovations,2010,1
Molecular Biology Techniques and Applications,2010,1
Flood Risk Assessment and Management,2010,1
Lung Cancer Diagnosis and Treatment,2010,1
Thermography and Photoacoustic Techniques,2010,1
Psychology of Moral and Emotional Judgment,2010,1
Emotions and Moral Behavior,2010,1
Fatigue and fracture mechanics,2010,1
Real-time simulation and control systems,2010,1
Adaptive Control of Nonlinear Systems,2010,1
Climate variability and models,2010,1
Precipitation Measurement and Analysis,2010,1
Mathematical Biology Tumor Growth,2010,1
Geophysics and Gravity Measurements,2010,1
Stability and Controllability of Differential Equations,2010,1
Stability and Control of Uncertain Systems,2010,1
Ultra-Wideband Communications Technology,2010,1
Genomics and Rare Diseases,2010,1
Electrical Fault Detection and Protection,2010,1
Lightning and Electromagnetic Phenomena,2010,1
Thermal Analysis in Power Transmission,2010,1
Digital Imaging for Blood Diseases,2010,1
Technology Use by Older Adults,2010,1
Structural Analysis and Optimization,2010,1
Topology Optimization in Engineering,2010,1
"Adsorption, diffusion, and thermodynamic properties of materials",2010,1
Composite Material Mechanics,2010,1
Chemical Synthesis and Analysis,2010,1
Polynomial and algebraic computation,2010,1
Mobile Health and mHealth Applications,2010,1
Functional Equations Stability Results,2010,1
Maritime Ports and Logistics,2010,1
Urban and Freight Transport Logistics,2010,1
Archaeology and ancient environmental studies,2010,1
Pleistocene-Era Hominins and Archaeology,2010,1
Archaeology and Rock Art Studies,2010,1
Structural Behavior of Reinforced Concrete,2010,1
Concrete Corrosion and Durability,2010,1
Innovative concrete reinforcement materials,2010,1
Library Science and Information Systems,2010,1
Skin Protection and Aging,2010,1
melanin and skin pigmentation,2010,1
Acne and Rosacea Treatments and Effects,2010,1
"Education, Safety, and Science Studies",2010,1
Diverse Topics in Contemporary Research,2010,1
Solar Thermal and Photovoltaic Systems,2010,1
Planetary Science and Exploration,2010,1
Spaceflight effects on biology,2010,1
Underground infrastructure and sustainability,2010,1
Intuitionistic Fuzzy Systems Applications,2010,1
Renal Transplantation Outcomes and Treatments,2010,1
T-cell and B-cell Immunology,2010,1
Immune Cell Function and Interaction,2010,1
Clinical Reasoning and Diagnostic Skills,2010,1
Patient Safety and Medication Errors,2010,1
Stochastic Gradient Optimization Techniques,2010,1
Educational Methods and Technology,2010,1
"Health Systems, Economic Evaluations, Quality of Life",2010,1
Healthcare Quality and Management,2010,1
Vietnamese History and Culture Studies,2010,1
"Race, History, and American Society",2010,1
Theological Perspectives and Practices,2010,1
Multilevel Inverters and Converters,2010,1
Non-Destructive Testing Techniques,2010,1
"Crafts, Textile, and Design",2010,1
Design Education and Practice,2010,1
Quality Function Deployment in Product Design,2010,1
Cervical Cancer and HPV Research,2010,1
Endometrial and Cervical Cancer Treatments,2010,1
Optical Wireless Communication Technologies,2010,1
Big Data Technologies and Applications,2010,1
Library Science and Administration,2010,1
"Linguistics, Language Diversity, and Identity",2010,1
Linguistic Variation and Morphology,2010,1
Linguistics and language evolution,2010,1
Geography Education and Pedagogy,2010,1
Mechanics and Biomechanics Studies,2010,1
Sports Dynamics and Biomechanics,2010,1
Shoulder Injury and Treatment,2010,1
Metallurgy and Material Forming,2010,1
Research Data Management Practices,2010,1
Semiconductor Lasers and Optical Devices,2010,1
Photonic Crystals and Applications,2010,1
Photonic and Optical Devices,2010,1
Stochastic processes and financial applications,2010,1
"History, Culture, and Diplomacy",2010,1
"Philosophy, History, and Historiography",2010,1
Lattice Boltzmann Simulation Studies,2010,1
Diverse Musicological Studies,2010,1
"Balkans: History, Politics, Society",2010,1
Industrial Automation and Control Systems,2010,1
Accounting and Organizational Management,2010,1
Diabetes Management and Research,2010,1
Diabetes and associated disorders,2010,1
Cardiovascular Function and Risk Factors,2010,1
Islamic Studies and History,2010,1
Education and Islamic Studies,2010,1
Jewish and Middle Eastern Studies,2010,1
Linguistic research and analysis,2010,1
Linguistics and Cultural Studies,2010,1
Language and Culture,2010,1
Advanced Neural Network Applications,2010,1
Advanced Topics in Algebra,2010,1
Wireless Signal Modulation Classification,2010,1
Laser and Thermal Forming Techniques,2010,1
Metal Alloys Wear and Properties,2010,1
Sustainable Supply Chain Management,2010,1
Gait Recognition and Analysis,2010,1
Cultural Differences and Values,2010,1
Job Satisfaction and Organizational Behavior,2010,1
Mobile Learning in Education,2010,1
Optimal Experimental Design Methods,2010,1
South Asian Studies and Conflicts,2010,1
South Asian Studies and Diaspora,2010,1
Indian History and Philosophy,2010,1
Criminal Law and Evidence,2010,1
Legal Education and Practice Innovations,2010,1
Research on Leishmaniasis Studies,2010,1
Classical Philosophy and Thought,2010,1
DNA and Nucleic Acid Chemistry,2010,1
Supply Chain and Inventory Management,2010,1
Language Acquisition and Education,2010,1
China's Ethnic Minorities and Relations,2010,1
Behavioral and Psychological Studies,2010,1
Autism Spectrum Disorder Research,2010,1
American Environmental and Regional History,2010,1
Genomics and Phylogenetic Studies,2010,1
Caching and Content Delivery,2010,1
"Shakespeare, Adaptation, and Literary Criticism",2010,1
Air Quality Monitoring and Forecasting,2010,1
Wetland Management and Conservation,2010,1
Phonetics and Phonology Research,2010,1
Hearing Impairment and Communication,2010,1
Functional Brain Connectivity Studies,2010,1
Matrix Theory and Algorithms,2010,1
Advanced Surface Polishing Techniques,2010,1
Iterative Methods for Nonlinear Equations,2010,1
Railway Engineering and Dynamics,2010,1
Optimal Power Flow Distribution,2010,1
Finite Group Theory Research,2010,1
Educational Challenges and Innovations,2010,1
Biomedical and Engineering Education,2010,1
Ethics in medical practice,2010,1
Atmospheric and Environmental Gas Dynamics,2010,1
Organic Food and Agriculture,2010,1
Model Reduction and Neural Networks,2010,1
Smart Parking Systems Research,2010,1
Diverse Aspects of Tourism Research,2010,1
Geochemistry and Geochronology of Asian Mineral Deposits,2010,1
Data Mining and Machine Learning Applications,2010,1
GABA and Rice Research,2010,1
Food Quality and Safety Studies,2010,1
Phytochemistry and Bioactivity Studies,2010,1
Technology and Human Factors in Education and Health,2010,1
Music Technology and Sound Studies,2010,1
Musicology and Musical Analysis,2010,1
"Media, Communication, and Education",2010,1
Geophysics and Sensor Technology,2010,1
Seismology and Earthquake Studies,2010,1
Neonatal and fetal brain pathology,2010,1
Pediatric Pain Management Techniques,2010,1
Minerals Flotation and Separation Techniques,2010,1
Iron and Steelmaking Processes,2010,1
"Forest, Soil, and Plant Ecology in China",2010,1
Control Systems and Identification,2010,1
Numerical methods for differential equations,2010,1
Wireless Body Area Networks,2010,1
"Folklore, Mythology, and Literature Studies",2010,1
Religion and Society Interactions,2010,1
Religious and Theological Studies,2010,1
Religion and Society in Latin America,2010,1
Metamaterials and Metasurfaces Applications,2010,1
Plasmonic and Surface Plasmon Research,2010,1
Superconducting Materials and Applications,2010,1
Physics of Superconductivity and Magnetism,2010,1
Magnetic Properties and Applications,2010,1
Multimodal Machine Learning Applications,2010,1
Geotechnical Engineering and Underground Structures,2010,1
Structural Integrity and Reliability Analysis,2010,1
Offshore Engineering and Technologies,2010,1
Mobile Crowdsensing and Crowdsourcing,2010,1
Consumer Market Behavior and Pricing,2010,1
Geochemistry and Geologic Mapping,2010,1
Conservation Techniques and Studies,2010,1
Orbital Angular Momentum in Optics,2010,1
Mechanical Engineering and Vibrations Research,2010,1
Photovoltaic Systems and Sustainability,2010,1
Energy and Environment Impacts,2010,1
Hybrid Renewable Energy Systems,2010,1
Cavitation Phenomena in Pumps,2010,1
Higher Education Governance and Development,2010,1
Higher Education and Employability,2010,1
Innovative Approaches in Technology and Social Development,2010,1
Intellectual Property and Patents,2010,1
Taxation and Compliance Studies,2010,1
"FinTech, Crowdfunding, Digital Finance",2010,1
Corruption and Economic Development,2010,1
Fire effects on concrete materials,2010,1
Blockchain Technology in Education and Learning,2010,1
Advanced Scientific and Engineering Studies,2010,1
Language Development and Disorders,2010,1
Gender Diversity and Inequality,2010,1
Stock Market Forecasting Methods,2010,1
Education and Teacher Training,2010,1
Bayesian Methods and Mixture Models,2010,1
Fixed Point Theorems Analysis,2010,1
Advanced Radiotherapy Techniques,2010,1
Advances in Oncology and Radiotherapy,2010,1
Insect and Arachnid Ecology and Behavior,2010,1
Neurobiology and Insect Physiology Research,2010,1
Species Distribution and Climate Change,2010,1
Viral Infections and Vectors,2010,1
Viral Infections and Outbreaks Research,2010,1
"Conservation, Biodiversity, and Resource Management",2010,1
Social and Economic Development in India,2010,1
Freedom of Expression and Defamation,2010,1
Probability and Statistical Research,2010,1
Electromagnetic Compatibility and Noise Suppression,2010,1
Microwave and Dielectric Measurement Techniques,2010,1
Cloud Computing and Remote Desktop Technologies,2010,1
Market Dynamics and Volatility,2010,1
Financial Risk and Volatility Modeling,2010,1
Environmental and Agricultural Sciences,2010,1
Social and Educational Sciences,2010,1
Museums and Cultural Heritage,2010,1
Visual Culture and Art Theory,2010,1
Information Technology Governance and Strategy,2010,1
Ship Hydrodynamics and Maneuverability,2010,1
Marine and fisheries research,2010,1
Forecasting Techniques and Applications,2010,1
Health and Well-being Studies,2010,1
Elevator Systems and Control,2010,1
Heat Transfer Mechanisms,2010,1
Pragmatism in Philosophy and Education,2010,1
"Philosophy, Science, and History",2010,1
Sports Analytics and Performance,2010,1
Facial Nerve Paralysis Treatment and Research,2010,1
Psychosocial Factors Impacting Youth,2010,1
Diverse Approaches in Healthcare and Education Studies,2010,1
Sport and Mega-Event Impacts,2010,1
Quasicrystal Structures and Properties,2010,1
Remote Sensing in Agriculture,2010,1
Geomagnetism and Paleomagnetism Studies,2010,1
Smart Agriculture and AI,2010,1
Open Source Software Innovations,2010,1
Space Satellite Systems and Control,2010,1
Spacecraft Dynamics and Control,2010,1
Cancer-related gene regulation,2010,1
HER2/EGFR in Cancer Research,2010,1
Wnt/β-catenin signaling in development and cancer,2010,1
Ocular and Laser Science Research,2010,1
Bioinformatics and Genomic Networks,2010,1
Electromagnetic Fields and Biological Effects,2010,1
Control Systems in Engineering,2010,1
Wine Industry and Tourism,2010,1
Energy Load and Power Forecasting,2010,1
Digital Radiography and Breast Imaging,2010,1
Advanced Fluorescence Microscopy Techniques,2010,1
AI-based Problem Solving and Planning,2010,1
Radiation Effects in Electronics,2010,1
Nuclear reactor physics and engineering,2010,1
"Intelligence, Security, War Strategy",2010,1
Cybersecurity and Cyber Warfare Studies,2010,1
Winter Sports Injuries and Performance,2010,1
Cryospheric studies and observations,2010,1
Mathematics Education and Pedagogy,2010,1
Educational Assessment and Pedagogy,2010,1
Quantum optics and atomic interactions,2010,1
Quantum and electron transport phenomena,2010,1
Advanced MIMO Systems Optimization,2010,1
Public Procurement and Policy,2010,1
Quantum Mechanics and Applications,2010,1
Embedded Systems Design Techniques,2010,1
Photoacoustic and Ultrasonic Imaging,2010,1
"Computability, Logic, AI Algorithms",2010,1
Benford’s Law and Fraud Detection,2010,1
Legal principles and applications,2010,1
"Philosophy, Sociology, Political Theory",2010,1
Security and Verification in Computing,2010,1
IoT and Edge/Fog Computing,2010,1
Healthcare Technology and Patient Monitoring,2010,1
Influenza Virus Research Studies,2010,1
Pain Management and Placebo Effect,2010,1
Analytic and geometric function theory,2010,1
Nonlinear Partial Differential Equations,2010,1
Advanced Harmonic Analysis Research,2010,1
Innovation and Knowledge Management,2010,1
Urban Planning and Valuation,2010,1
Energy Efficiency in Computing,2010,1
"Logic, programming, and type systems",2010,1
Formal Methods in Verification,2010,1
Engineering Education and Curriculum Development,2010,1
Welding Techniques and Residual Stresses,2010,1
Antenna Design and Optimization,2010,1
Antenna Design and Analysis,2010,1
Semiconductor materials and devices,2010,1
Silicon Nanostructures and Photoluminescence,2010,1
Catalytic Processes in Materials Science,2010,1
Clinical practice guidelines implementation,2010,1
"Cardiac, Anesthesia and Surgical Outcomes",2010,1
Hip and Femur Fractures,2010,1
E-Learning and Knowledge Management,2010,1
European and International Law Studies,2010,1
Theology and Canon Law Studies,2010,1
Polish Law and Legal System,2010,1
Digital Humanities and Scholarship,2010,1
IoT and GPS-based Vehicle Safety Systems,2010,1
Wireless Communication Security Techniques,2010,1
Cruise Tourism Development and Management,2010,1
Community-based Tourism Development and Sustainability,2010,1
Electromagnetic Scattering and Analysis,2010,1
Advanced Antenna and Metasurface Technologies,2010,1
Border Security and International Relations,2010,1
Historical Geography and Cartography,2010,1
Optical Polarization and Ellipsometry,2010,1
Mechatronics Education and Applications,2010,1
Noise Effects and Management,2010,1
Hearing Loss and Rehabilitation,2010,1
Vehicle Noise and Vibration Control,2010,1
Adaptive optics and wavefront sensing,2010,1
Advanced optical system design,2010,1
Model-Driven Software Engineering Techniques,2010,1
Psychology of Social Influence,2010,1
Education Methods and Technologies,2010,1
Algebraic Geometry and Number Theory,2010,1
Holomorphic and Operator Theory,2010,1
Meromorphic and Entire Functions,2010,1
Advanced Differential Equations and Dynamical Systems,2010,1
Mathematical and Theoretical Epidemiology and Ecology Models,2010,1
Occupational Health and Safety Research,2010,1
Cognitive Radio Networks and Spectrum Sensing,2010,1
Advanced Bandit Algorithms Research,2010,1
Advanced Queuing Theory Analysis,2010,1
Advanced MRI Techniques and Applications,2010,1
Decision-Making and Behavioral Economics,2010,1
"Banking stability, regulation, efficiency",2010,1
Advanced Materials and Mechanics,2010,1
Micro and Nano Robotics,2010,1
Business and Management Studies,2010,1
Architecture and Computational Design,2010,1
Infrastructure Resilience and Vulnerability Analysis,2010,1
Lexicography and Language Studies,2010,1
QR Code Applications and Technologies,2010,1
Process Optimization and Integration,2010,1
Edible Oils Quality and Analysis,2010,1
"Balance, Gait, and Falls Prevention",2010,1
Lower Extremity Biomechanics and Pathologies,2010,1
Multilingual Education and Policy,2010,1
Legal Language and Interpretation,2010,1
"Bangladesh Politics, Society, and Development",2010,1
"Syntax, Semantics, Linguistic Variation",2010,1
